user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
Section 12600 what is it?,"['MECHANICAL Building Management System  \n \n \nPSME-CRSA  12651 \n \n \n \nSECTION 12651 \n \nBUILDING MANGEMENT SYSTEM \n \n \nPart 1  GENERAL \n \n1.01  INTRODUCTION \n \nA.  Read and be governed by the Conditions of Subcontract, Schedule of \nProject Requirements and all other Sections of Division 1. \nB.  Definitions \nIn  accordance  with  the  Conditions  of  Subcontract  and  as  specified \nherein. \n \nSubcontractor means the MEP Installation Contractor. \nBMS  Controls  Specialist  – Specialist  employed  by Subcontractor  for \ncomplete BMS installation works. \n \nC. Coordination of the Works \nIn  accordance  with  Section  12600:  Submittals,  Section  12700: \nExecution Requirements and as specified herein. \nThe  Contractor  and  Subcontractor  shall   employ   full   time  MEP \ncoordinator(s) with their tasks dedicated to coordination issues. \nThe  works  described  in  this  Section  shall  be  fully  coordinated  in \nconjunction with all the Design Consultants drawings and specifications. \n \n1.02  PRIORITY OF DOCUMENTS \n \nA.  Refer to the Conditions of Subcontract \n \n1.03  SCOPE OF WORK \n \nA.  The following specification details Building Management System (BMS) \nand shall be applied in all cases when work specified under the relevant \nSections of Technical Specifications require and enables connection to \nthe BMS.']","In the context provided, Section 12600 refers to the coordination of the works related to the Building Management System (BMS), specifically focusing on submittals and execution requirements, and it emphasizes the importance of full-time MEP coordinators working in conjunction with design consultants to ensure proper integration and compliance.",Building Management System Coordinator,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
Building Management System how it work?,"['MECHANICAL Building Management System  \n \n \nPSME-CRSA  12651 \n  \n \n \n \nB.  T he Building Management System (BMS) to be provided shall perform a \nseries of general functions: This includes, but is not limited to, the \nfollowing: \n \n1.  Building Management and Control \n2.  Monitoring   and   Control   of   Controllers,   Remote   Devices   and \nProgrammable Logic Controllers \n3.  Operator Interface \n4.  Video display integration \n5.  Data collection and Historization \n6.  Alarm Management \n7.  Trending \n8.  Report Generation \n9.  Network Integration \n10. Data  exchange   and  integration   with  a  diverse  range  of  other \ncomputing and facilities systems using industry standard techniques. \n \nC. The Subcontractor shall be responsible for submitting the above works, \ncomplete furnishing and installing a fully integrated building automation \nsystem,  incorporating  direct  digital  control  (DDC)  for  energy \nmanagement, equipment monitoring and control, and subsystems as \nherein specified. The system shall include all computer software and \nhardware, operator input/output devices, sensors and controls required \nfor complete operation. The above scope shall be based on Design \nConsultants approvals of submitted samples and existing standards of \nworks. \n \nD. The  Subcontractor   shall  be  responsible  for  all  BMS  wiring  for  a \ncomplete   and  operable   system.   All  wiring  shall  be  performed   in \naccordance  with  all  local  and  international  codes  and  standards  of \nworks. \n \nE.  The Building Management System (BMS) herein specified shall be fully \nintegrated and installed as a complete package by the Subcontractor. \nThe System shall include all wiring, piping, installation supervision, \ncalibration,  adjustments,  and checkout  necessary  for a complete  and \nfully operational system. \n \nF.  Installation of Building Management System (BMS) \nThe Subcontractor shall furnish and install a complete Building \nManagement  System  (BMS)  for  all  mechanical  systems  and  other \nfacility  systems  as  included  in  the project  documents.  The  BMS  will']","The Building Management System (BMS) performs functions such as building management and control, monitoring and control of controllers, remote devices, and programmable logic controllers, operator interface, video display integration, data collection and historization, alarm management, trending, report generation, network integration, and data exchange with other systems using industry standard techniques. It is responsible for providing a fully integrated building automation system that includes all necessary hardware, software, sensors, controls, wiring, and installation to ensure complete operation and compliance with standards.",Construction Project Mechanical and Electrical Coordinator,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
What is PSME-CRSA in the context of BMS systems?,"['MECHANICAL Building Management System  \n \n \nPSME-CRSA  12651 \n  \n \n \n \nprovide  the functional  features  as defined  in Part  1-General,  Part  2- \nProducts, and Part 3-Execution of these Specifications. \n \nG. The Subcontractor shall provide a complete and operational system to \nperform all sequences of operations stated within Section 3 or as shown \non the control drawings. \n \nH. In addition, the following apply: \n \n1.  The work under this Section shall include all materials and labour to \nperform all work required for the installation of the BMS as specified. \n \n2. The drawings  and Specifications  are complementary  to one \nanother—meaning that what is called for on one is to be considered \ncalled   for   in   both.   Where   conflicts   exist,   the   more   stringent \nrequirement shall apply. \n \n3. The Subcontractor shall be responsible for field verification of site \nconditions and for gathering all necessary field data for all items to \nbe provided under this contract prior to submitting his or her bid. \n \n4. Where work specified under other Sections of this Specification \nconnects to equipment or systems that are listed and described in \nthis Section, the Subcontractor shall provide proper connection(s) to \nsuch equipment, including trade coordination. \nI.  Related Work Specified Elsewhere: \nSection 12600  Submittals \nSection 12700  Execution Requirements']","PSME-CRSA 12651 is referenced as part of the Mechanical Building Management System specifications, which include functional features as defined in Part 1-General, Part 2-Products, and Part 3-Execution of these Specifications. It relates to the complete and operational system required to perform all sequences of operations, including materials, labor, and proper connections, as specified in the contract and drawings.",Building Management System (BMS) Engineer,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
What is a MECHANICAL Building Management System?,"['MECHANICAL Building Management System  \n \n \nPSME-CRSA  12651 \n     \n \n \n \n \nDIVISION 14 Special Constructions \n(Particularly relevant are following sections from the division 13): \nSection 14851, FIRE DETECTION AND ALARM SYSTEM. \nSection 14860, CARBON MONOXIDE DETECTION AND ALARM \nSection 14920, FIRE PUMPS \n \nDIVISION 15 Conveying Systems \n \nDIVISION 16 Mechanical \n(Particularly relevant are following sections from the division 15): \nSection 16010, BASIC MECHANICAL REQUIREMENTS. \nSection   16070,   MECHANICAL   SOUND,   VIBRATION   &   SEISMIC \nCONTROL \nSection 16110, VALVES \nSection 16130, PUMPS \nSection 16440, PLUMBING PUMPS \nSection 16450, POTABLE WATER STORAGE TANKS \nSection 16460, DOMESTIC WATER TREATMENT \nSection 16720, AIR HANDLING UNITS \nSection 16760, TERMINAL HEATING AND COOLING UNITS \nSection 16820, DUCT ACCESSORIES \nSection 16830, FANS \nSection 16900, HVAC INSTRUMENTATION AND CONTROLS \nSection 16940, SEQUENCE OF OPERATION \nSection 16950, TESTING ADJUSTING AND BALANCING \nDIVISION 17 Electrical \n1.04  SUBMISSIONS \n \nA. Provide submittals in accordance with the Conditions of Subcontract, \nProject R ecord D ocuments, Administrative Procedures, Product \nRequirements and as specified herein \n \nB. Samples of all types of room mounted equipment (i.e. detectors, \nthermostats, etc.) shall be provided by the BMS/Controls Specialist for \napproval by the Design Consultant. \n \nC. Each submittal shall include the following information.']","The context provides information about various divisions and sections related to mechanical systems, but it does not explicitly define what a MECHANICAL Building Management System is. Therefore, based solely on the provided content, a MECHANICAL Building Management System is mentioned as a term within the context, but its specific definition or description is not included.",Building Management System Coordinator,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
What is a Mechanical Building Management System and what are its key components?,"['MECHANICAL Building Management System  \n \n \nPSME-CRSA  12651 \n     \n \n \n \n1.  A section by section listing of clarifications and exceptions taken to \nthese specifications. \n \n2. BMS  riser  diagram  showing  all  DDC  controllers,  operator \nworkstations, network repeaters, and network wiring. \n \n3.  One-line schematics and system flow diagrams showing the location \nof all control devices. \n \n4.  Points  list  for  each  DDC  controller,  including:  Tag,  Point  Type, \nSystem Name, Object Name, Expanded ID, Display Units, Controller \nType, Address, Cable Destination, Module Type, Terminal ID, Panel, \nSlot Number, Reference Drawing, and Cable Number. \n \n5.  Product information sheets with identification by the manufacturer’s \npart number for each model of BMS controller identified on the BMS \nRiser Diagram to be provided. \n \n6.  Catalogued cut sheets of all equipment used. This includes, but is \nnot limited to, the following: DDC panels, peripherals, sensors, \nactuators, dampers, control air system components, and so forth. \n \n7.  Range and scale information for all transmitters  and sensors. This \nsheet shall clearly indicate one device and any applicable options. \nWhere more than one device to be used is on a single sheet, submit \ntwo sheets, individually marked. \n \n8.  The  sequence  of  operations  shall  cover  normal  operation  and \noperation  under  the  various  alarm  conditions  applicable  to  that \nsystem. \n \n9.  Points  shall  be referenced  by name,  including  all software  points \nsuch as programmable set points, range limits, time delays, and so \nforth. \n \nD. Project organization including resumes of each project team member.']","A Mechanical Building Management System (MECHANICAL BMS) includes a section by section listing of clarifications and exceptions, a riser diagram showing all DDC controllers, operator workstations, network repeaters, and wiring, as well as one-line schematics and system flow diagrams indicating control device locations. It also involves points lists for each DDC controller with details such as Tag, Point Type, System Name, Object Name, and other specifications, product information sheets identified by manufacturer’s part numbers, catalogued cut sheets of all equipment used, range and scale information for transmitters and sensors, and a sequence of operations covering normal and alarm conditions. Points are referenced by name, including all software points like programmable set points and time delays, along with project organization details including resumes of project team members.",Building Management System Coordinator,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
Who are the BMS Specialists involved in the mechanical and electrical building systems?,"['MECHANICAL Building Management System  \n \n \n  PSME-CRSA  12651 \n   \n \n \n \nE. User interface functional outline. The outline shall include each display \nscreen to be provided, data to be displayed, and links to other screens. \nThe outline level hierarchy shall be: \n1.  Site \n2.  Building \n3.  Floor \n4.  System \n \nF. Detailed Bill of Material list for each panel, identifying: quantity, part \nnumber, description, and associated options. \n \nG. Control  Damper  Schedules.  This  spreadsheet  type  schedule  shall \ninclude a separate line for each damper and a column for each of the \ndamper attributes, including: Code Number, Fail Position, Damper Type, \nDamper Operator, Blade Type, Bearing Type, Seals, Duct Size, Damper \nSize, Mounting, and Actuator Type. \n \nH. Control Valve Schedules. This spreadsheet type schedule shall include \na  separate  line  for  each  valve  and  a  column  for  each  of  the  valve \nattributes,  including:  Code  Number,  Configuration,  Fail Position,  Pipe \nSize,  Valve  Size,  Body  Configuration,  Close  off  Pressure,  Capacity, \nValve CV, Calc CV, Design  Pressure,  Actual  Pressure,  and Actuator \nType. \n \n1.05  QUALITY CONTROL AND ASSURANCE \nA.  In  accordance  with  the  Conditions  of  Subcontract,  Section  01400: \nQuality Control and as specified herein. \n \nB.  Submit  the prior project  list of five Building Management  Systems  of \nsimilar size, scope and complexity, which have been completed and \naccepted by the Sub-consultant.  Include, Project Name, Owner Name \nand Address, Contact Name, Contact Phone Number and a brief \ndescription of the system. These systems must be online and functional. \n \nC. Location of the BMS Specialists branch office that would perform both \nroutine maintenance and emergency repair services.   Include resumes \nof each hardware and software technician who would be involved in \nperforming on-site service.']","The context mentions BMS Specialists as part of the project, but does not provide specific details about who they are or their roles beyond their involvement in the building management system. It indicates that they are responsible for routine maintenance and emergency repair services, and that resumes of involved technicians are required, but no further specifics are given.",Construction Project Mechanical and Electrical Coordinator,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
Building Management Systems what they do?,"['MECHANICAL Building Management System  \n \n \n PSME-CRSA  12651 \n    \n \n \nD. The  BMS  Specialist  shall  be  a  factory  owned  branch  office  that  is \nregularly engaged in the engineering, programming, installation and \nservice of Building Management Systems of similar size and complexity. \nEmergency service shall be available on a 24-hour, 7-day-a-week basis. \n \nE.  The Subcontractor shall be responsible for all coordination of work in a \nsatisfactory and neat workmanlike manner acceptable to the Design \nConsultant. \n \nF. The Subcontractor will coordinate with other Trade Subcontractors \nregarding the location and size of pipes, equipment, fixtures, conduit, \nducts, openings, switches, outlets. \n \nG. Experience Record: The BMS Specialist shall have a minimum of ten \nyears  experience  with  the  complete,  installation  of  Building \nManagement Systems of similar size and technical complexity. \n \nH. The Subcontractor shall employ specialists in the field of Building \nManagement Systems including: Programming, Engineering, Field \nSupervision, and Installation. Specialists shall have a minimum of five \nyears of experience with Building Management Systems. \n \nI.   Controllers and DDC (Direct Digital Control) system components shall \nbe current production products. \n \nJ.  All other equipment shall be the products of the BMS manufacturers or \nof an approved manufacturer regularly engaged in production of \nspecialized Building Management System materials or equipment. \n \nK. ISO-9001: The manufacturer and software developer of the Building \nManagement  System shall  provide  documentation  supporting \ncompliance with ISO-9001 (Model of Quality Assurance in \nDesign/Development, Production, Installation, and Servicing).  Product \nLiterature  provided  by the BMS  manufacturer  shall  contain  the  ISO- \n9001 Certification Mark from the applicable registrar.   Manufacturers \ndelivering products that do not comply with the ISO-9001 certification \nrequirement shall provide the following information to assure that quality \nsystems are in place, which are equivalent to the ISO-9001 standard:']","Building Management Systems are used for the engineering, programming, installation, and service of building systems, with specialists having a minimum of five years of experience, and the system components being current production products. The manufacturer and software developer must provide documentation supporting ISO-9001 compliance.",Construction Project Mechanical and Electrical Coordinator,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What PSME-CRSA mean in BMS stuff?,"['MECHANICAL Building Management System  \n \n \n PSME-CRSA  12651 \n    \n \n \n1. Marketing Specification Standards  \n2. Design File Standards    \n3. Manufacturing Test Standards    \n4. Calibration Standards    \n5. Quality System Standards    \n6. Quality System Procedures    \n7. Documented  management  commitment that all employees \nparticipate in quality programs \n8.  Training Procedures \n9.  Methods   by   which   corrective   actions   are  taken   for   problems \nidentified within the factory process. \n \nL.  Governing Code Compliance \nThe Subcontractor shall comply with all current governing codes \nordinances  and  regulations,  including  local  regulations,  UL,  NFPA,  , \nNEC, and so forth. \n \nM. FCC Regulation \nAll electronic equipment shall conform to the requirements of FCC \nRegulation, Part 15, Section 15, Governing Radio Frequency \nElectromagnetic Interference, and be so labelled. \n \n1.06  DELIVERY, STORAGE AND HANDLING \nA.  In  accordance  with  the  Conditions  of  Subcontract,  Section  01600: \nMaterials and Equipments. \n \n1.07  SPARE PARTS \nA.  In accordance with the conditions of Subcontract, Section 01800: O&M \nManuals and as specified herein. \n \n1.08  WARRANTIES \nA. In accordance with the Conditions of Subcontract, Section 12600: \nSubmittals,  Section  12700:  Execution  Requirements,  Section  12800: \nO&M Manuals.']","PSME-CRSA 12651 is part of the Mechanical Building Management System standards, including marketing specification standards, design file standards, manufacturing test standards, calibration standards, quality system standards, quality system procedures, documented management commitment, training procedures, and methods for corrective actions within the factory process. It also involves compliance with governing codes, FCC regulations, delivery, storage, handling, spare parts, and warranties as specified in the relevant subcontract sections.",Building Management System (BMS) Engineer,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
What is the BSRIA standard related to building services installation?,"['MECHANICAL Building Management System  \n \n \n  PSME-CRSA  12651 \n   \n \n \nB.  Material: \nThe Control System component, system software, parts and assemblies \nshall be free from defects in material and workmanship  under normal \nuse  and  service.  If  within  thirty  six  (36)  months  from  the  date  of \ncompletion  any  of  the  equipment  herein  described  is  defective  in \noperation, workmanship or materials, it will be replaced, repaired or \nadjusted at the option of the Subcontractor. \n \nC. All  corrective  software  modifications  made  during  warranty  service \nperiods shall be updated on all user documentation and on user and \nmanufacturer archived software disks. \n \n1.09  MAINTENANCE \nA. In accordance with the Conditions of Subcontract, Section 12600: \nSubmittals, Section 12800: O&M Manuals. \n \n1.010 INSPECTIONS  AND  TESTS  ON  COMPLETION  AND \nCOMMISSIONING \nA.  In  accordance  with  the  Conditions  of  Subcontract,  Section  01400: \nQuality Control, Section 01457: Inspection and Testing Control, Section \n12800: O&M Manuals. \n \nB.  A copy of the tests and commissioning report of the equipment/system \nshall be bound into the O&M Manual. \n \n1.011 OPERATION   AND  MAINTENANCE   MANUAL  AND  TRAINING  OF \nPERSONNEL \nA.  In accordance with the Conditions of Subcontract, Section 01800: O&M \nManuals and as specified herein. \n \nB.  O&M manuals shall be prepared in accordance  to BSRIA application \nguide 1/87.1  “Operating and maintenance manuals for building services \ninstallations” and shall include, but not be limited to, the following \ncategories (See also additional requirements of Section 12800): \n \n1.  Contractual and legal guides \n2.  The purpose of the installation \n3.  Installation records \n4.  Description of the installation; \n5.  Equipment schedule \n6.  Parts identification and recommended spares \n7.  Commissioning data;']","The O&M manuals shall be prepared in accordance with BSRIA application guide 1/87.1 ""Operating and maintenance manuals for building services installations"" and shall include categories such as contractual and legal guides, the purpose of the installation, installation records, description of the installation, equipment schedule, parts identification and recommended spares, and commissioning data.",Building Management System (BMS) Engineer,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
"As a Building Management System (BMS) Engineer responsible for the installation, programming, and maintenance of systems in a factory setting, could you explain the specific considerations and procedures involved in the operation, modification, and disposal of a MECHANICAL Building Management System, including the necessary documentation and manuals required to ensure proper functionality and compliance?","['MECHANICAL Building Management System  \n \n  PSME-CRSA  12651 \n   \n \n \n \n8.  Operation and how installation is to be used and keep operational; \n9.  Maintenance schedules; \n10. How installation may be modified or changed; \n11. Disposal of installation; \n12. Names and addresses of manufacturers; \n13. Set of “as built drawings” \n14. Emergency Operating Procedures \n15. Manufacturers literature; \n \nC. Provide  copies  of  all  manufacturers  manuals  covering  the  installed \nsystem.  This shall include, as a minimum: \n1.  System Engineering Manual and Hardware Manual \n2.  System Installation Manual \n3.  Programming Manual \n4.  Engineering and Troubleshooting Bulletins \n5.  Operator Workstation Software Manual \n6.  All   other   pertinent   manuals   published   by   the   control   system \nmanufacturer. \n \nD. Include the following documentation in the Hardware Manual: \n1.  General description and cut sheets for all components. \n2.  Detailed wiring and installation illustrations and complete calibration \nprocedures for each field and panel device. \n3.  Complete trouble-shooting procedures and guidelines. \n4.  Complete operating instructions for all systems. \n5.  Maintenance  Instructions:  Document  all  maintenance  and \nrepair/replacement procedures. \n \nE.  Include the following documentation in the DDC Software Manual: \n-  Sequence of Operations \n-  Program Listing of Software Source Code OR Flow Chart Diagrams \nof Programming Objects. \n-  Printed listing of controller and operator workstation database files. \n-  Software Point Name Abbreviation List..  Include Name, Description, \nController Where Located, Point Type and Point ID. \n-  I/O  Point  List.  Include  Point  Name,  Controller  Location,  Point \nNumber, Control Device, Range and Span. \n-  Printouts of all;  Reports, Group Listings and Alarm Messages. \n-  Index  of  all  DDC  point  names  with  documentation  manual  page \nnumber references. \n \nF.  Software manuals for all applications programs to be provided as a part \nof the operator workstations, portable operator terminals, programming']","The context outlines that for a MECHANICAL Building Management System, the operation involves understanding how the installation is to be used and kept operational, along with maintenance schedules and potential modifications or changes. It emphasizes the importance of having comprehensive documentation, including copies of all manufacturers' manuals such as system engineering, hardware, installation, programming, troubleshooting, operator workstation software, and other pertinent manuals. The documentation should also include detailed descriptions, wiring and installation illustrations, calibration procedures, troubleshooting guidelines, and operating instructions. Additionally, the hardware manual must contain component descriptions and wiring diagrams, while the software manual should include the sequence of operations, program listings or flow charts, database files, point lists, reports, alarm messages, and documentation references. Manuals for all applications programs, operator terminals, and programming tools are also required to ensure proper operation, maintenance, and eventual disposal of the system, aligning with quality standards and facilitating modifications if necessary.",Building Management System (BMS) Engineer,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
